ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory
BLE_ELES,BLE_STRUCT_COLUMN_SZ_TXT,7f9e7848-00fe-54f4-be8a-d1b2921c081d,TEXT,Type,COLUMNSIZE,Doors
BLE_ELES,BLE_STRUCT_COLUMN_SZ_TXT,7f9e7848-00fe-54f4-be8a-d1b2921c081d,TEXT,Type,COLUMNSIZE,Structural Columns
BLE_ELES,BLE_STRUCT_COLUMN_SZ_TXT,7f9e7848-00fe-54f4-be8a-d1b2921c081d,TEXT,Type,COLUMNSIZE,Structural Framing
BLE_ELES,BLE_STRUCT_COLUMN_SZ_TXT,7f9e7848-00fe-54f4-be8a-d1b2921c081d,TEXT,Type,COLUMNSIZE,Windows
BLE_ELES,BLE_STRUCT_CONCRETE_GRADE_TXT,9499fb71-5eab-5b17-9f5b-8741104bd98c,TEXT,Type,CONCRETEGRADE,Doors
BLE_ELES,BLE_STRUCT_CONCRETE_GRADE_TXT,9499fb71-5eab-5b17-9f5b-8741104bd98c,TEXT,Type,CONCRETEGRADE,Structural Columns
BLE_ELES,BLE_STRUCT_CONCRETE_GRADE_TXT,9499fb71-5eab-5b17-9f5b-8741104bd98c,TEXT,Type,CONCRETEGRADE,Structural Framing
BLE_ELES,BLE_STRUCT_CONCRETE_GRADE_TXT,9499fb71-5eab-5b17-9f5b-8741104bd98c,TEXT,Type,CONCRETEGRADE,Windows
BLE_ELES,BLE_STRUCT_ELE_TYPE_TXT,e21a2a53-114b-57ba-a655-39c32ce37694,TEXT,Type,STRUCTURALELEMENTTYPE,Doors
BLE_ELES,BLE_STRUCT_ELE_TYPE_TXT,e21a2a53-114b-57ba-a655-39c32ce37694,TEXT,Type,STRUCTURALELEMENTTYPE,Structural Columns
BLE_ELES,BLE_STRUCT_ELE_TYPE_TXT,e21a2a53-114b-57ba-a655-39c32ce37694,TEXT,Type,STRUCTURALELEMENTTYPE,Structural Framing
BLE_ELES,BLE_STRUCT_ELE_TYPE_TXT,e21a2a53-114b-57ba-a655-39c32ce37694,TEXT,Type,STRUCTURALELEMENTTYPE,Windows
BLE_ELES,BLE_STRUCT_FOUNDATION_TYPE_TXT,d6705b58-9a98-5a20-98e8-3fe13dfb048a,TEXT,Type,FOUNDATIONTYPE,Doors
BLE_ELES,BLE_STRUCT_FOUNDATION_TYPE_TXT,d6705b58-9a98-5a20-98e8-3fe13dfb048a,TEXT,Type,FOUNDATIONTYPE,Structural Columns
BLE_ELES,BLE_STRUCT_FOUNDATION_TYPE_TXT,d6705b58-9a98-5a20-98e8-3fe13dfb048a,TEXT,Type,FOUNDATIONTYPE,Structural Framing
BLE_ELES,BLE_STRUCT_FOUNDATION_TYPE_TXT,d6705b58-9a98-5a20-98e8-3fe13dfb048a,TEXT,Type,FOUNDATIONTYPE,Windows
BLE_ELES,BLE_STRUCT_LD_CAP_KN_NR,18036582-317d-57dd-a0c6-698f6dad5136,NUMBER,Type,LOADCAPACITY(KN),Doors
BLE_ELES,BLE_STRUCT_LD_CAP_KN_NR,18036582-317d-57dd-a0c6-698f6dad5136,NUMBER,Type,LOADCAPACITY(KN),Structural Columns
BLE_ELES,BLE_STRUCT_LD_CAP_KN_NR,18036582-317d-57dd-a0c6-698f6dad5136,NUMBER,Type,LOADCAPACITY(KN),Structural Framing
BLE_ELES,BLE_STRUCT_LD_CAP_KN_NR,18036582-317d-57dd-a0c6-698f6dad5136,NUMBER,Type,LOADCAPACITY(KN),Windows
BLE_ELES,BLE_STRUCT_MAT_TXT,fc01c335-751d-5bf6-8619-b6a7cbe9bceb,TEXT,Type,STRUCTURALMATERIAL,Structural Columns
BLE_ELES,BLE_STRUCT_MAT_TXT,fc01c335-751d-5bf6-8619-b6a7cbe9bceb,TEXT,Type,STRUCTURALMATERIAL,Structural Framing
BLE_ELES,BLE_STRUCT_REINFORCEMENT_TXT,d59b4268-242b-5e77-a1c7-af165bef45d1,TEXT,Type,REINFORCEMENTSPECIFICATION,Doors
BLE_ELES,BLE_STRUCT_REINFORCEMENT_TXT,d59b4268-242b-5e77-a1c7-af165bef45d1,TEXT,Type,REINFORCEMENTSPECIFICATION,Structural Columns
BLE_ELES,BLE_STRUCT_REINFORCEMENT_TXT,d59b4268-242b-5e77-a1c7-af165bef45d1,TEXT,Type,REINFORCEMENTSPECIFICATION,Structural Framing
BLE_ELES,BLE_STRUCT_REINFORCEMENT_TXT,d59b4268-242b-5e77-a1c7-af165bef45d1,TEXT,Type,REINFORCEMENTSPECIFICATION,Windows
BLE_ELES,BLE_STRUCT_SEISMIC_DESIGN_BOOL,6002d584-21c6-59f6-9a92-a7f81e72504a,YESNO,Type,SEISMICDESIGNREQUIRED,Doors
BLE_ELES,BLE_STRUCT_SEISMIC_DESIGN_BOOL,6002d584-21c6-59f6-9a92-a7f81e72504a,YESNO,Type,SEISMICDESIGNREQUIRED,Structural Columns
